"DirectedEdge[1698, 21527]","DirectedEdge[21527, 1698]","{4, 1}"
"DirectedEdge[8271, 13]","DirectedEdge[13, 8271]","{16, 1}"
"DirectedEdge[6458, 8264]","DirectedEdge[8264, 6458]","{4, 1}"
"DirectedEdge[720, 4657]","DirectedEdge[4657, 720]","{21, 3}"
"DirectedEdge[488, 4657]","DirectedEdge[4657, 488]","{2, 3}"
"DirectedEdge[2304, 4476]","DirectedEdge[4476, 2304]","{1, 1}"
"DirectedEdge[720, 452]","DirectedEdge[452, 720]","{64, 1}"
"DirectedEdge[1347, 839]","DirectedEdge[839, 1347]","{2, 11}"
"DirectedEdge[488, 486]","DirectedEdge[486, 488]","{7, 1}"
"DirectedEdge[2491, 720]","DirectedEdge[720, 2491]","{11, 51}"
"DirectedEdge[1304, 3260]","DirectedEdge[3260, 1304]","{2, 13}"
"DirectedEdge[2304, 1059]","DirectedEdge[1059, 2304]","{3, 1}"
"DirectedEdge[3545, 9]","DirectedEdge[9, 3545]","{18, 4}"
"DirectedEdge[720, 815]","DirectedEdge[815, 720]","{60, 3}"
"DirectedEdge[2492, 815]","DirectedEdge[815, 2492]","{29, 1}"
"DirectedEdge[13, 11]","DirectedEdge[11, 13]","{29, 2}"
"DirectedEdge[720, 1040]","DirectedEdge[1040, 720]","{11, 5}"
"DirectedEdge[2335, 1040]","DirectedEdge[1040, 2335]","{7, 1}"
"DirectedEdge[344, 2]","DirectedEdge[2, 344]","{4, 3}"
"DirectedEdge[2395, 720]","DirectedEdge[720, 2395]","{6, 25}"
"DirectedEdge[4076, 3408]","DirectedEdge[3408, 4076]","{2, 5}"
"DirectedEdge[1304, 130]","DirectedEdge[130, 1304]","{3, 1}"
"DirectedEdge[488, 1596]","DirectedEdge[1596, 488]","{13, 1}"
"DirectedEdge[2338, 720]","DirectedEdge[720, 2338]","{13, 136}"
"DirectedEdge[1304, 815]","DirectedEdge[815, 1304]","{4, 1}"
"DirectedEdge[4064, 4476]","DirectedEdge[4476, 4064]","{5, 2}"
"DirectedEdge[488, 1734]","DirectedEdge[1734, 488]","{8, 9}"
"DirectedEdge[2009, 8264]","DirectedEdge[8264, 2009]","{2, 1}"
"DirectedEdge[488, 3281]","DirectedEdge[3281, 488]","{7, 6}"
"DirectedEdge[2069, 10025]","DirectedEdge[10025, 2069]","{8, 3}"
"DirectedEdge[399, 10025]","DirectedEdge[10025, 399]","{6, 16}"
"DirectedEdge[488, 10025]","DirectedEdge[10025, 488]","{2, 6}"
"DirectedEdge[2069, 2450]","DirectedEdge[2450, 2069]","{50, 1}"
"DirectedEdge[5223, 746]","DirectedEdge[746, 5223]","{30, 7}"
"DirectedEdge[488, 2878]","DirectedEdge[2878, 488]","{6, 1}"
"DirectedEdge[488, 460]","DirectedEdge[460, 488]","{14, 1}"
"DirectedEdge[2069, 488]","DirectedEdge[488, 2069]","{12, 10}"
"DirectedEdge[2969, 488]","DirectedEdge[488, 2969]","{5, 9}"
"DirectedEdge[488, 488]","DirectedEdge[488, 488]","{22, 22}"
"DirectedEdge[4687, 488]","DirectedEdge[488, 4687]","{2, 1}"
"DirectedEdge[2491, 9]","DirectedEdge[9, 2491]","{40, 1}"
"DirectedEdge[2069, 3579]","DirectedEdge[3579, 2069]","{5, 3}"
"DirectedEdge[488, 2458]","DirectedEdge[2458, 488]","{9, 1}"
"DirectedEdge[2069, 7426]","DirectedEdge[7426, 2069]","{14, 1}"
"DirectedEdge[3518, 7426]","DirectedEdge[7426, 3518]","{11, 7}"
"DirectedEdge[833, 774]","DirectedEdge[774, 833]","{5, 2}"
"DirectedEdge[549, 2]","DirectedEdge[2, 549]","{11, 1}"
"DirectedEdge[7016, 720]","DirectedEdge[720, 7016]","{6, 5}"
"DirectedEdge[2288, 10025]","DirectedEdge[10025, 2288]","{1, 3}"
